Timestamp,Transaction Type,Data
1780,Wr,6777681d
1790,Rd,
1800,Rd,
1810,Wr,4abf47b5
1820,Wr,79e11907
1830,Rd,
1840,Data,ed3a56ed
1850,Wr,6f0dace7
1860,Rd,
1870,Wr,0156a285
1880,Rd,
1890,Data,8927e77e
1900,Wr,3d1bb9d2
1910,Data,a5eaa43b
1920,Rd,
1930,Wr,58bde3dc
1940,Wr,659fb77a
1950,Rd,
1960,Data,05be0068
1970,Data,ff05ec78
1980,Wr,02546477
1990,Rd,
2000,Rd,
2010,Rd,
2020,Data,7c02e96a
2030,Wr,17dbbb6c
2040,Rd,
2050,Wr,ee0cc356
2060,Wr,37440e4d
2070,Rd,
2080,Rd,
2090,Rd,
2100,Rd,
2110,Data,62fe1532
2120,Rd,
2130,Data,091c9d0a
2140,Data,97595165
2150,Wr,52eaa9c9
2160,Data,824e450a
2170,Wr,b5e49e28
2180,Data,d2367461
2190,Wr,e3aaf5fd
2200,Data,8b7a988d
2210,Rd,
2220,Data,bb13db32
2230,Rd,
2240,Data,bc02f7cd
2250,Rd,
2260,Data,c98da504
2270,Wr,46533909
2280,Wr,7206acf4
2290,Rd,
2300,Wr,5140632b
2310,Wr,4e86aad1
2320,Data,835a059a
2330,Wr,6fe4a275
2340,Wr,43bf3381
2350,Data,a1f833cc
2360,Data,1586cef7
2370,Rd,
2380,Wr,147cc315
2390,Data,304a073f
2400,Data,298df937
2410,Rd,
2420,Data,cd3f8469
2430,Rd,
2440,Rd,
2450,Wr,7f6a0444
2460,Rd,
2470,Data,3a894806
2480,Wr,aeb6ce8d
2490,Data,0358134f
2500,Rd,
2510,Rd,
2520,Rd,
2530,Rd,
2540,Rd,
2550,Data,3fb8cc0e
2560,Data,443d2e9c
2570,Rd,
2580,Data,299aef54
2590,Wr,d984af91
2600,Wr,0654f1c4
2610,Data,bfb36476
2620,Data,b031ce54
2630,Wr,9e57910c
2640,Rd,
2650,Wr,4690bf58
2660,Data,28a6ce70
2670,Rd,
2680,Rd,
2690,Wr,dbdeb219
2700,Wr,07935edf
2710,Rd,
2720,Wr,08797c9c
2730,Data,19f3e7b9
2740,Data,2a9341b6
2750,Wr,665449c8
2760,Wr,da8d8521
2770,Rd,
2780,Data,37a46192
2790,Data,3fad0455
2800,Data,bdf33b17
2810,Data,8699f078
2820,Wr,bc2fd740
2830,Rd,
2840,Rd,
2850,Data,0523853f
2860,Rd,
2870,Data,830d024c
2880,Data,33cb45be
2890,Data,26ccd109
2900,Rd,
2910,Wr,78f5fe05
2920,Wr,4c7def5a
2930,Wr,cbab902d
2940,Wr,25dc54dc
2950,Data,eeb3ee13
2960,Rd,
2970,Wr,b7673184
2980,Wr,6a6596b9
2990,Wr,36b53cee
3000,Data,d9b71bba
3010,Rd,
3020,Rd,
3030,Wr,9fe04666
3040,Data,be0f0bc3
3050,Wr,36ea37c8
3060,Data,615aeed7
3070,Wr,d46e48c8
3080,Wr,30606fb9
3090,Wr,f846de50
3100,Rd,
3110,Data,b1feaba9
3120,Data,7b961025
3130,Data,995a430d
3140,Rd,
3150,Wr,819fff96
3160,Rd,
3170,Data,1d29caef
3180,Wr,5a2a6118
3190,Data,5e9aa4aa
3200,Data,c441ebb9
3210,Data,15dca2b8
3220,Rd,
3230,Data,71a6469a
3240,Wr,9bf57a35
3250,Wr,6195ab3c
3260,Data,4eff7208
3270,Rd,
3280,Wr,7509c0d3
3290,Wr,0890935b
3300,Rd,
3310,Wr,38f5fe14
3320,Data,21ae32f3
3330,Wr,b7ddcfbf
3340,Wr,8d19d2e0
3350,Wr,1681a45e
3360,Wr,bcfca875
3370,Wr,c455e4f8
3380,Rd,
3390,Data,5882bf83
3400,Data,85e3c7fa
3410,Rd,
3420,Data,b75f19ee
3430,Rd,
3440,Wr,49dfe2d1
3450,Rd,
3460,Rd,
3470,Wr,d71fb26d
3480,Data,7d4fd6a2
3490,Wr,45c6b22a
3500,Rd,
3510,Data,7153d966
3520,Data,32c7a6ff
3530,Data,54ee018d
3540,Rd,
3550,Data,ae366cbc
3560,Rd,
3570,Rd,
3580,Rd,
3590,Rd,
3600,Wr,91b916ec
3610,Data,29b6765d
3620,Wr,cd2c5247
3630,Data,fd899c25
3640,Wr,d1024fdd
3650,Wr,6521f12b
3660,Data,e8544951
3670,Wr,63edb5fa
3680,Wr,a2b9dc82
3690,Wr,de6eaf5b
3700,Wr,ff480c48
3710,Data,5ef0d020
3720,Rd,
3730,Data,bc71b4b9
3740,Wr,bebda383
3750,Wr,f24b9fa0
3760,Wr,b692ffe6
3770,Rd,
3780,Rd,
3790,Wr,0da98fc9
3800,Rd,
3810,Rd,
3820,Data,289fb109
3830,Data,bfd192af
3840,Data,38245aca
3850,Wr,33aee5a0
3860,Data,919ad217
3870,Rd,
3880,Wr,42f106bb
3890,Wr,0539b5ae
3900,Wr,b51d580d
3910,Rd,
3920,Wr,e6cec975
3930,Rd,
3940,Data,4190ba3c
3950,Rd,
3960,Wr,29dc0cbb
3970,Data,81fb176b
3980,Wr,a0704e88
3990,Rd,
4000,Rd,
4010,Data,dd5c7c7e
4020,Data,4ae600e6
4030,Wr,34b2ebb9
4040,Rd,
4050,Rd,
4060,Wr,61b775f2
4070,Data,f9735c29
4080,Rd,
4090,Wr,ca34e5b3
4100,Rd,
4110,Wr,8b12f272
4120,Wr,662463e1
4130,Data,c6ebc7d0
4140,Data,e6c6d790
4150,Wr,c55bc8b6
4160,Data,e2e11668
4170,Data,bf67c964
4180,Wr,268fcb5a
4190,Data,20c6078a
4200,Data,7575c194
4210,Wr,bf3b0a08
4220,Rd,
4230,Data,f30421a8
4240,Rd,
4250,Wr,15555d36
4260,Wr,807ff8ef
4270,Data,23f8617b
4280,Data,eba63c1d
4290,Wr,aee1296c
4300,Rd,
4310,Data,c83421b5
4320,Wr,49cb02ab
4330,Data,be421742
4340,Wr,0d9fcf07
4350,Wr,515360d3
4360,Data,7bfa0c9b
4370,Data,bff2686a
4380,Wr,c0c76cf5
4390,Data,dd19efe6
4400,Data,2c6716b0
4410,Wr,1d96dc8f
4420,Rd,
4430,Rd,
4440,Rd,
4450,Wr,bf984080
4460,Wr,b704519e
4470,Data,4e69bb47
4480,Data,ae82a168
4490,Wr,36b1a75f
4500,Wr,a589bdff
4510,Data,72202795
4520,Rd,
4530,Wr,0855afd0
4540,Data,7b4296c6
4550,Wr,ead26ee0
4560,Rd,
4570,Rd,
4580,Wr,c68d3a53
4590,Wr,d59f0cd2
4600,Wr,f90012ee
4610,Rd,
4620,Rd,
4630,Rd,
4640,Wr,1fbca247
4650,Rd,
4660,Data,ab9b99ee
4670,Data,850ef478
4680,Rd,
4690,Rd,
4700,Data,7f1070ea
4710,Rd,
4720,Rd,
4730,Data,3d806b68
4740,Wr,ec57b302
4750,Rd,
4760,Wr,62c4e642
4770,Rd,
4780,Data,1339f1d6
4790,Data,a9ef7d3a
4800,Rd,
4810,Wr,0d1999a1
4820,Wr,67585f3f
4830,Rd,
4840,Wr,078af8bd
4850,Rd,
4860,Data,40fe0e63
4870,Data,de6365c9
4880,Rd,
4890,Data,46c67ab0
4900,Rd,
4910,Wr,b5d8d405
4920,Wr,329c8fb0
4930,Wr,f3a629f2
4940,Wr,21ee8c3a
4950,Rd,
4960,Data,0dcedecd
4970,Rd,
4980,Rd,
4990,Rd,
5000,Data,f679d4ea
5010,Data,76dd5c9d
5020,Rd,
5030,Wr,a33c5385
5040,Wr,ad3c6651
5050,Data,6a8ac025
5060,Rd,
5070,Data,80113ff0
5080,Rd,
5090,Data,0e9083f9
5100,Wr,97752274
5110,Data,070ab577
5120,Data,3bc17e49
5130,Data,2b36430d
5140,Rd,
5150,Data,c1bef075
5160,Data,6fe5f664
5170,Data,25d9f691
5180,Rd,
5190,Data,f16b4347
5200,Wr,008c73ec
5210,Data,1fddeef6
5220,Data,c4dd9a2c
5230,Rd,
5240,Rd,
5250,Wr,94041d15
5260,Rd,
5270,Rd,
5280,Rd,
5290,Rd,
5300,Data,c6d3675f
5310,Data,8c99f4ca
5320,Data,8deb45c7
5330,Data,b10ae9ff
5340,Rd,
5350,Rd,
5360,Wr,6bf3766e
5370,Wr,3d5bc284
5380,Data,fbeeeba9
5390,Data,f1b97b6e
5400,Data,a0dd253f
5410,Data,0695ca4b
5420,Wr,a0e3c8b7
5430,Wr,3ab35e9c
5440,Data,05a16cb6
5450,Data,d03f67b5
5460,Wr,54766749
5470,Rd,
5480,Wr,1f9b05bd
5490,Data,8cee9453
5500,Wr,6656ded2
5510,Rd,
5520,Data,859dbaee
5530,Rd,
5540,Wr,5c057881
5550,Data,6f1e2458
5560,Rd,
5570,Wr,c277130d
5580,Rd,
5590,Rd,
5600,Rd,
5610,Data,a4e96db5
5620,Rd,
5630,Data,4dd07926
5640,Rd,
5650,Rd,
5660,Rd,
5670,Data,2f2390f0
5680,Wr,bac2958b
5690,Wr,e9977c76
5700,Wr,e9a892c2
5710,Rd,
5720,Data,f4ac9ef3
5730,Wr,a25d7d06
5740,Rd,
5750,Wr,aa800fe4
5760,Data,5e496031
5770,Data,b581e648
5780,Rd,
5790,Data,d0eedf82
5800,Data,70f45274
5810,Rd,
5820,Wr,03d5bde6
5830,Wr,4800c9b1
5840,Wr,93e1e06e
5850,Data,7d402474
5860,Data,4128ce3d
5870,Wr,0b22d926
5880,Data,534fa1e3
5890,Rd,
5900,Wr,19c719a2
5910,Wr,6012121d
5920,Data,70bf1b2b
5930,Data,0ae57536
5940,Wr,0c67473c
5950,Rd,
5960,Rd,
5970,Data,7e5a9f9a
5980,Rd,
5990,Rd,
6000,Data,ca5fd305
6010,Rd,
6020,Data,a2f8593b
6030,Wr,c8d1c071
6040,Wr,6b0b7a95
6050,Wr,92b15088
6060,Rd,
6070,Rd,
6080,Data,2a68d283
6090,Wr,af3fd208
6100,Data,4de3abc2
6110,Rd,
6120,Data,24e4b336
6130,Rd,
6140,Data,22abd8aa
6150,Wr,35ab44fc
6160,Data,3120a06a
6170,Data,594dff7c
6180,Data,7b5c716d
6190,Wr,12078200
6200,Wr,6a7c1bd3
6210,Rd,
6220,Wr,a144cf31
6230,Data,968b82ce
6240,Wr,f81f54f8
6250,Data,7d315674
6260,Rd,
6270,Wr,d0418944
6280,Data,dda85d99
6290,Wr,d96fc6fb
6300,Rd,
6310,Wr,9bf9f4b2
6320,Wr,83678c43
6330,Rd,
6340,Wr,4918a732
6350,Data,2a895619
6360,Rd,
6370,Wr,497742e9
6380,Wr,fef82f83
6390,Rd,
6400,Rd,
6410,Data,4f6e69e2
6420,Wr,9258e6cf
6430,Data,d5136004
6440,Data,504d2fdc
6450,Rd,
6460,Wr,44e3d03b
6470,Wr,5c596b45
6480,Data,eec3c882
6490,Data,340b10a1
6500,Data,b9394eb2
6510,Wr,c8e814c3
6520,Wr,68e930cc
6530,Rd,
6540,Data,512c07a9
6550,Data,32c4f867
6560,Data,85ac6bbe
6570,Data,7d119d9e
6580,Wr,a2bf1cb1
6590,Rd,
6600,Data,e3568a60
6610,Wr,eb514fbb
6620,Data,65e42f74
6630,Rd,
6640,Wr,25092da3
6650,Data,8527ec32
6660,Wr,0e18767f
6670,Data,40551cc1
6680,Data,a71af605
6690,Wr,42b6ada1
6700,Data,2e5bf90f
6710,Data,7746941a
6720,Rd,
6730,Wr,daba6d72
6740,Wr,3e92cc26
6750,Data,6acf4651
6760,Rd,
6770,Rd,
6780,Data,2cd50f08
6790,Data,b3ea2f5c
6800,Rd,
6810,Wr,49835bab
6820,Data,57a9d3e0
6830,Rd,
6840,Wr,8539dbb2
6850,Rd,
6860,Wr,3b9fc566
6870,Rd,
6880,Data,b84d737e
6890,Rd,
6900,Rd,
6910,Wr,b5268b62
6920,Data,f22c8593
6930,Rd,
6940,Rd,
6950,Rd,
6960,Data,98ae4581
6970,Data,257e90a1
6980,Data,d66e7d43
6990,Data,8795493e
7000,Wr,df2bc3d4
7010,Rd,
7020,Rd,
7030,Wr,56d4430b
7040,Data,dd318ee9
7050,Data,2b5386f3
7060,Data,850011f4
7070,Wr,292e00ec
7080,Wr,60850623
7090,Rd,
7100,Wr,158f2c3f
7110,Rd,
7120,Wr,ead9f14a
7130,Rd,
7140,Data,39b6fc59
7150,Data,dfcce696
7160,Rd,
7170,Rd,
7180,Rd,
7190,Wr,1000d94b
7200,Data,eeff3880
7210,Rd,
7220,Wr,f3955bfe
7230,Wr,19cae314
7240,Wr,ae4a2d80
7250,Rd,
7260,Data,c5bad980
7270,Wr,0f4a1f03
7280,Wr,fa3d8f39
7290,Data,ba09377b
7300,Rd,
7310,Data,4f1e5829
7320,Data,2d62078b
7330,Wr,7883386d
7340,Rd,
7350,Rd,
7360,Data,0b309237
7370,Data,a7612832
7380,Wr,7d7025e6
7390,Rd,
7400,Rd,
7410,Rd,
7420,Wr,2c637700
7430,Data,01aa5d05
7440,Wr,899d41fc
7450,Rd,
7460,Rd,
7470,Data,67797f6b
7480,Rd,
7490,Rd,
7500,Wr,73bf1303
7510,Wr,5dd352fc
7520,Rd,
7530,Wr,2b52f4b1
7540,Rd,
7550,Wr,20e4ce16
7560,Wr,f4a7d5d7
7570,Data,6030ca5e
7580,Data,810ecc01
7590,Rd,
7600,Data,c8a846f5
7610,Data,ef93c082
7620,Rd,
7630,Wr,cff6380c
7640,Wr,116992cb
7650,Rd,
7660,Data,15d10de8
7670,Wr,73ccb331
7680,Rd,
7690,Data,0e87a599
7700,Rd,
7710,Data,c36460ac
7720,Rd,
7730,Rd,
7740,Data,7dac2b25
7750,Wr,94ce5bc6
7760,Data,6dea8453
7770,Data,a12ec642
7780,Rd,
7790,Wr,58f5dfc7
7800,Wr,ec13a05f
7810,Rd,
7820,Rd,
7830,Rd,
7840,Rd,
7850,Wr,51cef213
7860,Wr,1307a907
7870,Rd,
7880,Wr,fa0c1a6d
7890,Wr,c6e3adf3
7900,Rd,
7910,Wr,6ecb3c53
7920,Data,dc1d2e92
7930,Rd,
7940,Wr,9d31f841
7950,Rd,
7960,Data,b89e7ced
7970,Wr,ec674d58
7980,Wr,c51b8c13
7990,Data,26a606e9
8000,Wr,6a39b679
8010,Wr,92efde50
8020,Data,e69365f3
8030,Wr,9b765529
8040,Wr,192eeb36
8050,Wr,a6f80749
8060,Rd,
8070,Rd,
8080,Wr,63f5eeb5
8090,Wr,053e26a7
8100,Wr,c79a60cd
8110,Data,246bde60
8120,Wr,94f4bb21
8130,Data,358cdbea
8140,Wr,2e086453
8150,Data,f89836f0
8160,Rd,
8170,Wr,567f2158
8180,Wr,2e99b3c6
8190,Wr,b3779f9d
8200,Rd,
8210,Wr,a9dbe64b
8220,Rd,
8230,Rd,
8240,Data,652065d6
8250,Wr,37740114
8260,Data,7c195cbe
8270,Rd,
8280,Wr,7af7f925
8290,Wr,beb198d5
8300,Wr,bd707c44
8310,Rd,
8320,Data,ca3503e3
8330,Rd,
8340,Rd,
8350,Data,f34fe4da
8360,Data,80c3d7d4
8370,Wr,adfb1c7d
8380,Wr,e39bf351
8390,Wr,80f58603
8400,Rd,
8410,Data,cadaa56b
8420,Rd,
8430,Data,53be2945
8440,Rd,
8450,Wr,9d898a92
8460,Wr,3bf596b2
8470,Data,f28aabdf
8480,Rd,
8490,Rd,
8500,Wr,3ce04f02
8510,Data,1974b75f
8520,Wr,9d40d5d3
8530,Wr,f2d6e1cb
8540,Wr,26f8091f
8550,Wr,e19eb154
8560,Wr,da438b52
8570,Rd,
8580,Data,6801080d
8590,Wr,a0d52f57
8600,Rd,
8610,Wr,8ec3f546
8620,Rd,
8630,Data,f15eeede
8640,Rd,
8650,Wr,eb2de4ae
8660,Wr,9288a45d
8670,Rd,
8680,Wr,7c443314
8690,Data,22f19058
8700,Rd,
8710,Data,30c6f318
8720,Data,9b339a13
8730,Data,5f99c20a
8740,Wr,05f67faa
8750,Wr,6f2674de
8760,Rd,
8770,Rd,
8780,Rd,
8790,Wr,f218e671
8800,Rd,
8810,Data,bbaf8572
8820,Data,38b58a79
8830,Wr,f0e198a7
8840,Data,ad318a8e
8850,Wr,130a2935
8860,Data,2efe31bb
8870,Wr,4664dcb4
8880,Rd,
8890,Wr,6b751c72
8900,Data,bd3ed9c7
8910,Data,56999ef3
8920,Rd,
8930,Data,c6580c20
8940,Rd,
8950,Rd,
8960,Wr,62d9b29b
8970,Wr,8cac87b8
8980,Data,c3746b24
8990,Data,aad743c5
9000,Data,b7dce388
9010,Wr,fc569262
9020,Wr,efec1b6e
9030,Wr,ed3bc719
9040,Rd,
9050,Data,5c84f111
9060,Rd,
9070,Rd,
9080,Data,5698dd85
9090,Wr,bcf57a69
9100,Wr,32d1ce27
9110,Data,509d019c
9120,Rd,
9130,Data,234d9864
9140,Wr,758757f2
9150,Data,c92b9196
9160,Data,d0eace72
9170,Wr,d25a10d8
9180,Wr,703164be
9190,Wr,9d7ad8e4
9200,Data,bf8cc28f
9210,Data,fdaa5e82
9220,Wr,e7f2efb3
9230,Data,88fc379f
9240,Rd,
9250,Data,900d7a2b
9260,Rd,
9270,Data,521bc8e2
9280,Data,2502c4ee
9290,Data,90a177d1
9300,Data,ffa1bf5b
9310,Data,ef84e0f0
9320,Data,c9596eeb
9330,Rd,
9340,Data,ae7de981
9350,Wr,f4246047
9360,Rd,
9370,Wr,ab0f6864
9380,Data,0a025c99
9390,Data,ff9e8915
9400,Data,efc759c1
9410,Data,1b952299
9420,Wr,43a36253
9430,Rd,
9440,Wr,3af87d9c
9450,Rd,
9460,Data,1dc976f7
9470,Rd,
9480,Rd,
9490,Data,e2b59ef3
9500,Wr,bd538765
9510,Data,05400d9d
9520,Data,d83834d9
9530,Wr,6242cd18
9540,Data,e70a04bf
9550,Data,e78c2829
9560,Rd,
9570,Rd,
9580,Wr,cdc783a5
9590,Wr,30f3d508
9600,Wr,e247056c
9610,Rd,
9620,Wr,f93eb60d
9630,Data,61e3790f
9640,Rd,
9650,Wr,f8e57aa7
9660,Wr,eadc2380
9670,Wr,baf0f26c
9680,Wr,6f158911
9690,Rd,
9700,Data,299b40b5
9710,Data,8822d2d3
9720,Rd,
9730,Data,f3eeb9f3
9740,Data,8ee42756
9750,Data,468c4e79
9760,Wr,f2391b16
9770,Data,9cb16958
9780,Data,d4594421
9790,Data,1bd10db3
9800,Data,d2898610
9810,Data,4514b438
9820,Rd,
9830,Data,0c008a1a
9840,Data,43491af1
9850,Wr,3a45fa4b
9860,Data,609c38dc
9870,Data,bbdcaf2a
9880,Wr,44f0d44e
9890,Wr,de9ba74d
9900,Rd,
9910,Data,f8b81059
9920,Wr,6ef68d12
9930,Wr,7ddd48f2
9940,Wr,83fff154
9950,Data,9633df56
9960,Rd,
9970,Rd,
9980,Data,00133584
9990,Wr,ed6d21f8
